x_axis,y_axis,z_axis
-633.0,-6.0,1544.0
687.0,-34.0,1126.0
2035.0,16.0,751.0
2270.0,-216.0,746.0
1315.0,-107.0,730.0
73.0,-184.0,1160.0
-1322.0,-372.0,1581.0
-2377.0,-394.0,1879.0
-3254.0,-62.0,2032.0
-3802.0,-9.0,1841.0
-3878.0,-72.0,1740.0
-3958.0,84.0,1716.0
-3635.0,309.0,1677.0
-2708.0,245.0,1651.0
-1310.0,248.0,1649.0
179.0,225.0,1729.0
1604.0,-4.0,1591.0
2743.0,-214.0,1327.0
3353.0,-383.0,1191.0
3349.0,-424.0,1120.0
2627.0,-281.0,1182.0
1331.0,-128.0,1229.0
-159.0,-259.0,1312.0
-1585.0,-433.0,1440.0
-2882.0,-169.0,1489.0
-3733.0,52.0,1142.0
-3632.0,-13.0,956.0
-3210.0,-76.0,967.0
-2316.0,-28.0,1019.0
-930.0,12.0,1147.0
543.0,267.0,1361.0
1952.0,10.0,1504.0
3071.0,-186.0,1314.0
3550.0,-363.0,1130.0
3470.0,-494.0,1162.0
2947.0,-357.0,1158.0
1950.0,-194.0,1151.0
537.0,-126.0,1240.0
-709.0,100.0,1189.0
-1633.0,4.0,1166.0
-2585.0,-34.0,992.0
-3173.0,91.0,778.0
-3222.0,139.0,559.0
-2656.0,118.0,704.0
-1925.0,209.0,865.0
-931.0,214.0,1123.0
56.0,304.0,1325.0
1064.0,359.0,1440.0
1938.0,178.0,1552.0
2420.0,-1.0,1541.0
2698.0,-74.0,1455.0
2659.0,-159.0,1440.0
2022.0,-110.0,1344.0
889.0,-133.0,1356.0
-582.0,-223.0,1484.0
-1989.0,136.0,1223.0
-3032.0,487.0,851.0
-3492.0,722.0,468.0
-3206.0,617.0,406.0
-2674.0,519.0,563.0
-1920.0,258.0,821.0
-1005.0,84.0,1158.0
-98.0,52.0,1358.0
1067.0,-22.0,1539.0
2196.0,-146.0,1608.0
3108.0,-398.0,1542.0
3607.0,-657.0,1458.0
3452.0,-694.0,1310.0
3060.0,-620.0,1276.0
2242.0,-545.0,1257.0
756.0,-647.0,1343.0
-679.0,-499.0,1304.0
-2083.0,-165.0,1133.0
-3035.0,-31.0,809.0
-3675.0,146.0,456.0
-3581.0,102.0,304.0
-3223.0,-101.0,332.0
-2571.0,-195.0,419.0
-1576.0,-368.0,489.0
-398.0,-288.0,535.0
884.0,-45.0,636.0
2184.0,-36.0,798.0
3067.0,-234.0,776.0
3525.0,-311.0,646.0
3194.0,-335.0,620.0
2588.0,-287.0,611.0
1616.0,-311.0,720.0
172.0,-484.0,869.0
-1011.0,-365.0,691.0
-2143.0,-168.0,526.0
-3073.0,60.0,292.0
-3230.0,118.0,33.0
-2935.0,71.0,34.0
-2609.0,60.0,100.0
-1918.0,-90.0,247.0
-1050.0,-248.0,440.0
-208.0,-233.0,600.0
718.0,-141.0,694.0
1787.0,-47.0,731.0
2600.0,-116.0,706.0
3157.0,-209.0,609.0
3440.0,-269.0,524.0
3146.0,-321.0,521.0
2564.0,-259.0,511.0
1560.0,-268.0,698.0
59.0,-338.0,815.0
-1005.0,-213.0,649.0
-2067.0,-94.0,487.0
-2786.0,102.0,343.0
-3050.0,214.0,136.0
-2757.0,97.0,200.0
-2290.0,19.0,387.0
-1578.0,-46.0,603.0
-686.0,-83.0,796.0
459.0,119.0,969.0
1507.0,237.0,1115.0
2301.0,127.0,1227.0
2829.0,164.0,1218.0
2949.0,339.0,1106.0
2539.0,209.0,962.0
2273.0,-821.0,1078.0
2151.0,-1966.0,1098.0
2010.0,-3015.0,1087.0
1912.0,-3571.0,822.0
1709.0,-3649.0,757.0
1585.0,-3372.0,775.0
1493.0,-2521.0,914.0
1444.0,-1261.0,1112.0
1188.0,158.0,1236.0
1101.0,1519.0,1231.0
915.0,2036.0,1281.0
809.0,2059.0,1260.0
732.0,1880.0,1160.0
683.0,1063.0,1074.0
588.0,-22.0,857.0
661.0,-1173.0,435.0
711.0,-2077.0,253.0
797.0,-2515.0,-17.0
931.0,-2581.0,-150.0
929.0,-2304.0,-164.0
720.0,-1303.0,-50.0
509.0,46.0,151.0
369.0,1477.0,286.0
459.0,1954.0,411.0
342.0,1972.0,388.0
320.0,1773.0,310.0
140.0,580.0,307.0
6.0,-878.0,0.0
231.0,-1821.0,-427.0
291.0,-2258.0,-513.0
312.0,-2228.0,-517.0
289.0,-1748.0,-474.0
318.0,-751.0,-371.0
169.0,714.0,-296.0
124.0,1801.0,-252.0
155.0,2119.0,-187.0
99.0,2095.0,-231.0
60.0,1885.0,-267.0
-180.0,850.0,-267.0
-209.0,-619.0,-582.0
228.0,-1674.0,-824.0
351.0,-1995.0,-807.0
233.0,-964.0,-746.0
-445.0,510.0,-885.0
-582.0,1187.0,-522.0
-667.0,1385.0,-396.0
-539.0,1493.0,-337.0
-476.0,1560.0,-258.0
-420.0,1522.0,-173.0
-357.0,1449.0,-125.0
-324.0,1334.0,-87.0
-312.0,1264.0,-79.0
-314.0,1173.0,-79.0
-330.0,1021.0,-89.0
-332.0,898.0,-83.0
-359.0,300.0,-8.0
-384.0,-734.0,-67.0
-297.0,-2135.0,-327.0
19.0,-3211.0,-466.0
10.0,-3658.0,-513.0
19.0,-3700.0,-512.0
-25.0,-3381.0,-495.0
-57.0,-2497.0,-390.0
-186.0,-1015.0,-238.0
-263.0,461.0,-238.0
-186.0,1300.0,-181.0
-234.0,1467.0,-158.0
-260.0,1291.0,-170.0
-314.0,608.0,-152.0
-506.0,-851.0,-235.0
-496.0,-2204.0,-573.0
-435.0,-2770.0,-715.0
-329.0,-2748.0,-735.0
-520.0,-1393.0,-520.0
-1092.0,100.0,-389.0
-999.0,278.0,-11.0
-849.0,-241.0,110.0
-1141.0,-1663.0,270.0
-1249.0,-3024.0,-122.0
-1259.0,-3064.0,-319.0
-1135.0,-2274.0,-182.0
-1306.0,-742.0,-338.0
-1033.0,-462.0,-118.0
-1196.0,-1875.0,275.0
-1423.0,-2942.0,204.0
-1652.0,-1400.0,41.0
-1657.0,93.0,-14.0
-1664.0,-1343.0,391.0
-1618.0,-2679.0,332.0
-1625.0,-1932.0,248.0
-1470.0,-476.0,90.0
-1455.0,258.0,-46.0
-1411.0,-150.0,49.0
-1437.0,-1577.0,158.0
-1445.0,-2904.0,3.0
-1235.0,-3697.0,-162.0
-1173.0,-4432.0,-269.0
-1208.0,-5035.0,-194.0
-1430.0,-5402.0,-82.0
-1367.0,-5288.0,-167.0
-1318.0,-5056.0,-176.0
-1273.0,-4843.0,-157.0
-1219.0,-4685.0,-126.0
-1178.0,-4538.0,-122.0
-1142.0,-4377.0,-134.0
-1073.0,-4187.0,-156.0
-1023.0,-3953.0,-152.0
-960.0,-3688.0,-156.0
-890.0,-3394.0,-181.0
-821.0,-3185.0,-182.0
-783.0,-2960.0,-188.0
-716.0,-2748.0,-206.0
-654.0,-2544.0,-209.0
-565.0,-2268.0,-218.0
-454.0,-1998.0,-189.0
-438.0,-1731.0,-119.0
-423.0,-1456.0,-102.0
-423.0,-1276.0,-83.0
-405.0,-1189.0,-76.0
-406.0,-1128.0,-66.0
-403.0,-1092.0,-55.0
-401.0,-1053.0,-54.0
-378.0,-1019.0,-56.0
-369.0,-972.0,-54.0
-359.0,-928.0,-50.0
-348.0,-895.0,-49.0
-339.0,-855.0,-47.0
-322.0,-820.0,-45.0
-312.0,-788.0,-46.0
-302.0,-762.0,-43.0
-289.0,-726.0,-43.0
-289.0,-687.0,-42.0
-287.0,-657.0,-43.0
-283.0,-628.0,-42.0
-272.0,-619.0,-40.0
-269.0,-574.0,-43.0
-240.0,-452.0,-40.0
-251.0,644.0,-54.0
-375.0,2048.0,-229.0
-231.0,2778.0,-160.0
-98.0,2812.0,-90.0
-206.0,2771.0,-131.0
-235.0,2687.0,-209.0
-248.0,2571.0,-284.0
-289.0,2427.0,-306.0
-289.0,2308.0,-311.0
-292.0,2199.0,-304.0
-287.0,2101.0,-300.0
-291.0,2034.0,-303.0
-284.0,1981.0,-297.0
-280.0,1909.0,-285.0
-278.0,1836.0,-282.0
-278.0,1755.0,-269.0
-272.0,1676.0,-258.0
-270.0,1599.0,-253.0
-271.0,1531.0,-244.0
-260.0,1464.0,-237.0
-256.0,1408.0,-235.0
-258.0,1355.0,-233.0
-253.0,1292.0,-227.0
-250.0,1242.0,-225.0
-246.0,1198.0,-224.0
-239.0,1151.0,-223.0
-243.0,1112.0,-224.0
-241.0,1070.0,-222.0
-237.0,1028.0,-217.0
-236.0,993.0,-215.0
-238.0,956.0,-213.0
-230.0,919.0,-204.0
-230.0,882.0,-199.0
-226.0,849.0,-195.0
-226.0,823.0,-192.0
-221.0,787.0,-188.0
-223.0,763.0,-187.0
-216.0,732.0,-182.0
-212.0,703.0,-180.0
-207.0,665.0,-177.0
-203.0,637.0,-178.0
-250.0,277.0,-175.0
-374.0,-1168.0,-427.0
-295.0,-2526.0,-916.0
14.0,-3034.0,-941.0
-93.0,-3177.0,-869.0
-114.0,-3113.0,-834.0
-89.0,-2998.0,-816.0
-101.0,-2860.0,-790.0
-84.0,-2741.0,-756.0
-71.0,-2628.0,-728.0
-72.0,-2504.0,-698.0
-81.0,-2382.0,-668.0
-79.0,-2266.0,-636.0
-87.0,-2158.0,-614.0
-102.0,-2068.0,-589.0
